gen_name,peptic cell,stem cell of gastric gland
ENSMUSG00000002059,54.07675981605943,52.290413866289356
ENSMUSG00000002064,83.73717721966749,86.68641669614432
ENSMUSG00000002068,65.3342766183233,75.19455252918289
ENSMUSG00000002076,27.52476123098691,32.12769720551822
ENSMUSG00000002083,56.840290060134414,69.99469402193138
ENSMUSG00000002100,25.2431906614786,29.05022992571631
ENSMUSG00000002102,97.36469755925009,97.3249027237354
ENSMUSG00000002103,82.6582950123806,74.84524230633181
ENSMUSG00000002104,35.744605588963566,4.032543332154227
ENSMUSG00000002105,69.94605588963566,63.1411390166254
ENSMUSG00000002107,72.22762645914396,66.65634948708879
ENSMUSG00000002108,47.28952953661125,50.89317297488504
ENSMUSG00000002109,71.94906261054122,64.49858507251504
ENSMUSG00000002111,15.033604527767952,17.739653342766186
ENSMUSG00000002129,83.72833392288645,87.06667845772904
ENSMUSG00000002147,91.66077113547931,88.43738945879024
ENSMUSG00000002204,35.21400778210117,37.813937035726916
ENSMUSG00000002205,86.76158471878315,84.49770074283694
ENSMUSG00000002210,73.76636009904493,70.9320834807216
ENSMUSG00000002221,68.6284046692607,76.83056243367528
ENSMUSG00000002222,74.27927131234524,75.34046692607004
ENSMUSG00000002227,60.76671383091616,60.54120976299965
ENSMUSG00000002228,28.395825963919346,38.86186770428016
ENSMUSG00000002233,69.04403961796957,60.27591085956845
ENSMUSG00000002249,50.4642730810046,54.881499823134064
ENSMUSG00000002250,55.102582242660056,56.43349840820658
ENSMUSG00000002257,47.33816766890697,49.54457021577644
ENSMUSG00000002265,61.11602405376725,54.37743190661478
ENSMUSG00000002266,32.9412805093739,27.069331446763357
ENSMUSG00000002274,17.125044216483907,44.32260346657234
ENSMUSG00000002279,76.91457375309515,78.22780332507959
ENSMUSG00000002280,77.86964980544747,80.19985850725149
ENSMUSG00000002289,55.062787407145386,68.11991510435091
ENSMUSG00000002297,68.2304563141139,73.73540856031128
ENSMUSG00000002307,72.87318712415988,78.0995755217545
ENSMUSG00000002308,89.16253979483551,79.35532366466218
ENSMUSG00000002319,86.836752741422,82.48585072515033
ENSMUSG00000002320,94.7338167668907,94.10152104704635
ENSMUSG00000002324,46.63070392642377,38.570038910505836
ENSMUSG00000002325,61.098337460205165,59.43137601697913
ENSMUSG00000002326,79.28899893880438,79.13866289352671
ENSMUSG00000002329,86.02759108595684,84.73204810753448
ENSMUSG00000002332,86.5228157056951,89.71082419526
ENSMUSG00000002341,58.38344534842589,55.82331093031482
ENSMUSG00000002342,87.66802263883976,88.91934913335692
ENSMUSG00000002343,59.96639547223205,70.31747435443934
ENSMUSG00000002345,70.72426600636717,77.15776441457375
ENSMUSG00000002346,60.66059426954369,61.57587548638133
ENSMUSG00000002365,87.02688362221436,79.35090201627166
ENSMUSG00000002372,86.62451361867704,87.00477538026176
ENSMUSG00000002379,91.51043509020163,95.71100106119562
ENSMUSG00000002384,43.53112840466926,44.21648390519986
ENSMUSG00000002393,76.2424831977361,83.61779271312345
ENSMUSG00000002395,84.41811107180757,87.6768659356208
ENSMUSG00000002396,65.56420233463035,73.26671383091616
ENSMUSG00000002409,54.196144322603466,53.577113547930665
ENSMUSG00000002413,81.86239830208702,68.69030774672798
ENSMUSG00000002416,89.0917934205872,93.39847895295365
ENSMUSG00000002428,79.22267421294659,72.94835514679873
ENSMUSG00000002455,87.23912274495932,85.00619030774673
ENSMUSG00000002458,66.10364343827378,67.21789883268482
ENSMUSG00000002459,38.600990449239475,53.70091970286522
ENSMUSG00000002475,55.83215422709586,59.546338875132655
ENSMUSG00000002477,80.53590378493102,91.7492041032897
ENSMUSG00000002486,59.011319419879726,61.62893526706756
ENSMUSG00000002489,46.58648744251857,52.927131234524225
ENSMUSG00000002496,83.72391227449594,81.76512203749557
ENSMUSG00000002500,29.611779271312344,26.198266713830915
ENSMUSG00000002504,96.64839051998585,95.69331446763354
ENSMUSG00000002524,97.14361513972409,96.29908029713478
ENSMUSG00000002546,82.85726918995402,80.90290060134419
ENSMUSG00000002550,77.46727980191015,82.79536611248673
ENSMUSG00000002565,47.37796250442165,44.2474354439335
ENSMUSG00000002578,41.859745313052706,50.583657587548636
ENSMUSG00000002580,80.60665015917934,89.06526353024408
ENSMUSG00000002588,16.758047400070748,21.68376370711001
ENSMUSG00000002602,32.20728687654758,29.315528829147507
ENSMUSG00000002603,42.09409267775027,53.20569508312699
ENSMUSG00000002608,70.2865228157057,71.87389458790237
ENSMUSG00000002617,59.789529536611255,53.272019808984794
ENSMUSG00000002625,83.48072161301732,76.97647683056243
ENSMUSG00000002633,53.550583657587545,51.65369649805448
ENSMUSG00000002635,74.26158471878315,74.85850725150335
ENSMUSG00000002658,86.14697559250088,92.54952246197382
ENSMUSG00000002660,88.18093385214007,88.0748142907676
ENSMUSG00000002661,77.22851078882206,70.8171206225681
ENSMUSG00000002664,22.974885037141846,26.485673859214714
ENSMUSG00000002668,53.47983728333923,55.45189246551114
ENSMUSG00000002679,64.86116024053767,68.3631057658295
ENSMUSG00000002688,51.41934913335692,49.80544747081712
ENSMUSG00000002699,52.891758047400074,49.52246197382384
ENSMUSG00000002718,89.87000353731871,91.16996816413159
ENSMUSG00000002728,88.2516802263884,86.49628581535195
ENSMUSG00000002731,74.56225680933852,71.94464096215069
ENSMUSG00000002732,53.73629288998939,52.09143968871596
ENSMUSG00000002733,57.025999292536255,55.00530597806862
ENSMUSG00000002741,68.92023346303502,83.78139370357269
ENSMUSG00000002748,83.13141139016625,85.0017686593562
ENSMUSG00000002763,76.16731517509727,71.71471524584365
ENSMUSG00000002767,89.27750265298904,91.71383091616555
ENSMUSG00000002768,91.1301733286169,91.32472585779978
ENSMUSG00000002769,56.6590024761231,53.5594269543686
ENSMUSG00000002771,44.21648390519986,45.255571276972056
ENSMUSG00000002778,92.72638839759463,93.98213654050231
ENSMUSG00000002781,53.93084541917227,52.63088079235939
ENSMUSG00000002791,29.187301025822425,30.381146091262824
ENSMUSG00000002797,71.44499469402193,64.52511496285815
ENSMUSG00000002799,48.17828086310577,58.984789529536606
ENSMUSG00000002803,68.30562433675274,69.58348072161303
ENSMUSG00000002804,91.50159179342059,95.1582950123806
ENSMUSG00000002808,61.076229218252564,66.54138662893526
ENSMUSG00000002812,92.59373894587902,91.38662893526707
ENSMUSG00000002814,62.28333922886452,59.70109656880085
ENSMUSG00000002820,89.9982313406438,89.30845419172267
ENSMUSG00000002825,72.05518217191369,72.15245843650513
ENSMUSG00000002831,53.07304563141139,49.8673505482844
ENSMUSG00000002833,75.74725857799788,80.58012026883623
ENSMUSG00000002835,72.51061195613725,71.11337106473293
ENSMUSG00000002844,70.7507958967103,71.0824195259993
ENSMUSG00000002845,88.52582242660064,84.62592854616202
ENSMUSG00000002846,70.45454545454545,77.51149628581535
ENSMUSG00000002870,90.82507958967103,90.03802617615847
ENSMUSG00000002871,77.78563848602758,71.98001414927485
ENSMUSG00000002881,76.27785638486027,67.26211531659003
ENSMUSG00000002885,68.47806862398302,67.66448532012734
ENSMUSG00000002897,60.718075698620446,62.57958967102935
ENSMUSG00000002900,64.62681287584012,56.7032189600283
ENSMUSG00000002908,48.75309515387337,40.89582596391935
ENSMUSG00000002910,59.87354085603113,60.072515033604525
ENSMUSG00000002930,14.171383091616555,27.515917934205874
ENSMUSG00000002944,63.52582242660064,52.670675627874076
ENSMUSG00000002948,71.29465864874425,73.03678811460912
ENSMUSG00000002949,89.29961089494164,86.91192076406085
ENSMUSG00000002957,91.36452069331446,91.08153519632118
ENSMUSG00000002963,68.73452423063317,74.115670321896
ENSMUSG00000002968,91.41315882561018,93.1420233463035
ENSMUSG00000002980,66.77573399363283,74.05818889281925
ENSMUSG00000002981,97.70516448532013,96.84736469755924
ENSMUSG00000002983,57.0127343473647,61.4166961443226
ENSMUSG00000002984,93.88043862752033,95.87902370003538
ENSMUSG00000002985,68.33215422709587,59.855854262469045
ENSMUSG00000002992,14.984966395472233,35.581004598514326
ENSMUSG00000002996,94.61443226034666,90.7720198089848
ENSMUSG00000002997,58.01202688362221,55.664131588256105
ENSMUSG00000003031,79.51008135833038,87.61938450654404
ENSMUSG00000003032,93.70799434029006,94.63211885390874
ENSMUSG00000003033,82.79536611248673,72.87318712415988
ENSMUSG00000003037,90.14414573753096,94.86646621860629
ENSMUSG00000003038,99.0935620799434,98.8724796604174
ENSMUSG00000003039,94.84877962504422,93.72568093385215
ENSMUSG00000003051,99.39423417049876,99.20852493809691
ENSMUSG00000003053,8.325963919349133,17.770604881499825
ENSMUSG00000003062,84.85143261407853,80.56243367527415
ENSMUSG00000003068,74.30137955429784,77.35231694375663
